braid,free_part,torsion_part,total_num_FP,total_num_TP,total_num_FP_per_row,total_num_FP_per_column
"[-1, -1, -2, -3, -2, 3, -1, -1, -1]","{(-15, -5): 1, (-11, -4): 1, (-11, -3): 1, (-7, -2): 1, (-5, 0): 1, (-3, 0): 1}","{(-13, -4): {2: 1}, (-9, -2): {2: 1}}",6,2,"{-15: 1, -11: 2, -7: 1, -5: 1, -3: 1}","{-5: 1, -4: 1, -3: 1, -2: 1, 0: 2}"
"[3, 3, -1, -2, 3, -1, 2, 3, 1]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
"[-1, 3, -3, -2, -1, -1, -1, -1, -3]","{(-15, -5): 1, (-11, -4): 1, (-11, -3): 1, (-7, -2): 1, (-5, 0): 1, (-3, 0): 1}","{(-13, -4): {2: 1}, (-9, -2): {2: 1}}",6,2,"{-15: 1, -11: 2, -7: 1, -5: 1, -3: 1}","{-5: 1, -4: 1, -3: 1, -2: 1, 0: 2}"
"[-3, 3, 1, 3, 1, -2, -2, 2, 1]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
"[-1, 1, 2, 1, 2, 1, -2, 2, -3]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
"[2, -3, 1, 3, 1, -2, -1, 2, 3]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
"[-1, -3, -3, 1, -2, 3, -2, 1, -3]","{(-13, -5): 1, (-9, -4): 1, (-9, -3): 1, (-7, -2): 1, (-5, -2): 1, (-3, -1): 1, (-3, 0): 1, (-1, 0): 1}","{(-11, -4): {2: 1}, (-7, -2): {2: 1}, (-5, -1): {2: 1}}",8,3,"{-13: 1, -9: 2, -7: 1, -5: 1, -3: 2, -1: 1}","{-5: 1, -4: 1, -3: 1, -2: 2, -1: 1, 0: 2}"
"[2, -2, 1, 1, -1, 2, 2, 2, -3]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
"[2, 3, 2, 1, -1, 2, -1, 1, 1]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
"[-2, -1, -3, -3, -3, -2, -2, 2, 3]","{(-13, -5): 1, (-9, -4): 1, (-9, -3): 1, (-7, -2): 1, (-5, -2): 1, (-3, -1): 1, (-3, 0): 1, (-1, 0): 1}","{(-11, -4): {2: 1}, (-7, -2): {2: 1}, (-5, -1): {2: 1}}",8,3,"{-13: 1, -9: 2, -7: 1, -5: 1, -3: 2, -1: 1}","{-5: 1, -4: 1, -3: 1, -2: 2, -1: 1, 0: 2}"
"[2, -1, 2, 1, -1, -1, -3, -3, 3]","{(-5, -2): 1, (-1, -1): 1, (-1, 0): 1, (1, 0): 1, (1, 1): 1, (5, 2): 1}","{(-3, -1): {2: 1}, (3, 2): {2: 1}}",6,2,"{-5: 1, -1: 2, 1: 2, 5: 1}","{-2: 1, -1: 1, 0: 2, 1: 1, 2: 1}"
"[-2, 1, -2, -2, -1, -1, -3, -2, -2]","{(-19, -7): 1, (-17, -6): 1, (-15, -6): 1, (-15, -5): 2, (-13, -5): 1, (-13, -4): 1, (-11, -4): 2, (-11, -3): 2, (-9, -3): 1, (-9, -2): 1, (-7, -2): 2, (-5, -1): 1, (-5, 0): 1, (-3, 0): 1}","{(-17, -6): {2: 1}, (-15, -5): {2: 1}, (-13, -4): {2: 2}, (-11, -3): {2: 1}, (-9, -2): {2: 2}, (-7, -1): {2: 1}}",18,8,"{-19: 1, -17: 1, -15: 3, -13: 2, -11: 4, -9: 2, -7: 2, -5: 2, -3: 1}","{-7: 1, -6: 2, -5: 3, -4: 3, -3: 3, -2: 3, -1: 1, 0: 2}"
"[1, 2, 1, -3, -3, -3, -1, 2, -3]","{(-11, -4): 1, (-9, -3): 1, (-7, -3): 1, (-7, -2): 1, (-5, -2): 1, (-5, -1): 1, (-3, -1): 1, (-3, 0): 1, (-1, 0): 2, (-1, 1): 1, (3, 2): 1}","{(-9, -3): {2: 1}, (-7, -2): {2: 1}, (-5, -1): {2: 1}, (-3, 0): {2: 1}, (1, 2): {2: 1}}",12,5,"{-11: 1, -9: 1, -7: 2, -5: 2, -3: 2, -1: 3, 3: 1}","{-4: 1, -3: 2, -2: 2, -1: 2, 0: 3, 1: 1, 2: 1}"
"[1, 3, 1, 2, -2, -3, -2, -3, 1]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
"[-2, 1, -3, -3, -2, -1, -1, -1, -3]","{(-19, -7): 1, (-17, -6): 1, (-15, -6): 1, (-15, -5): 2, (-13, -5): 1, (-13, -4): 1, (-11, -4): 2, (-11, -3): 2, (-9, -3): 1, (-9, -2): 1, (-7, -2): 2, (-5, -1): 1, (-5, 0): 1, (-3, 0): 1}","{(-17, -6): {2: 1}, (-15, -5): {2: 1}, (-13, -4): {2: 2}, (-11, -3): {2: 1}, (-9, -2): {2: 2}, (-7, -1): {2: 1}}",18,8,"{-19: 1, -17: 1, -15: 3, -13: 2, -11: 4, -9: 2, -7: 2, -5: 2, -3: 1}","{-7: 1, -6: 2, -5: 3, -4: 3, -3: 3, -2: 3, -1: 1, 0: 2}"
"[-1, -2, -2, -3, 1, 2, -3, -3, 1]","{(-13, -5): 1, (-9, -4): 1, (-9, -3): 1, (-7, -2): 1, (-5, -2): 1, (-3, -1): 1, (-3, 0): 1, (-1, 0): 1}","{(-11, -4): {2: 1}, (-7, -2): {2: 1}, (-5, -1): {2: 1}}",8,3,"{-13: 1, -9: 2, -7: 1, -5: 1, -3: 2, -1: 1}","{-5: 1, -4: 1, -3: 1, -2: 2, -1: 1, 0: 2}"
"[-2, 3, -1, 2, -2, -1, 3, -1, 3]","{(-7, -3): 1, (-3, -2): 1, (-3, -1): 1, (-1, 0): 2, (1, 0): 2, (3, 1): 1, (3, 2): 1, (7, 3): 1}","{(-5, -2): {2: 1}, (-1, 0): {2: 1}, (1, 1): {2: 1}, (5, 3): {2: 1}}",10,4,"{-7: 1, -3: 2, -1: 2, 1: 2, 3: 2, 7: 1}","{-3: 1, -2: 1, -1: 1, 0: 4, 1: 1, 2: 1, 3: 1}"
"[-2, 3, 1, -2, -1, 1, 3, -3, 3]","{(-5, -2): 1, (-1, -1): 1, (-1, 0): 1, (1, 0): 1, (1, 1): 1, (5, 2): 1}","{(-3, -1): {2: 1}, (3, 2): {2: 1}}",6,2,"{-5: 1, -1: 2, 1: 2, 5: 1}","{-2: 1, -1: 1, 0: 2, 1: 1, 2: 1}"
"[1, -2, 1, 2, 3, 1, -3, -3, 1]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
"[-1, -3, -3, -2, -3, 1, -1, 2, -2]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
"[-2, 3, -3, 1, -2, 1, 1, 3, 2]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
"[-3, -1, 1, -3, -3, 3, -3, 3, -3]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
"[-2, 3, 3, 3, 1, 2, -2, -3, 3]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
"[-3, 2, -1, 2, 2, -1, -3, 1, 2]","{(-3, -2): 1, (1, -1): 1, (1, 0): 2, (3, 0): 1, (3, 1): 1, (5, 1): 1, (5, 2): 1, (7, 2): 1, (7, 3): 1, (9, 3): 1, (11, 4): 1}","{(-1, -1): {2: 1}, (3, 1): {2: 1}, (5, 2): {2: 1}, (7, 3): {2: 1}, (9, 4): {2: 1}}",12,5,"{-3: 1, 1: 3, 3: 2, 5: 2, 7: 2, 9: 1, 11: 1}","{-2: 1, -1: 1, 0: 3, 1: 2, 2: 2, 3: 2, 4: 1}"
"[-1, -3, 2, -3, -2, 2, -3, -1, -2]","{(-13, -5): 1, (-9, -4): 1, (-9, -3): 1, (-7, -2): 1, (-5, -2): 1, (-3, -1): 1, (-3, 0): 1, (-1, 0): 1}","{(-11, -4): {2: 1}, (-7, -2): {2: 1}, (-5, -1): {2: 1}}",8,3,"{-13: 1, -9: 2, -7: 1, -5: 1, -3: 2, -1: 1}","{-5: 1, -4: 1, -3: 1, -2: 2, -1: 1, 0: 2}"
"[-1, -1, -3, 2, 1, -2, -1, 3, 3]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
"[2, -1, 3, -1, 3, -3, 3, -3, -1]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
"[-1, 1, -2, -2, -1, -1, 1, 3, -2]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
"[1, -3, -1, -3, -1, -3, 1, -2, -1]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
"[1, -1, -3, 1, -2, 1, 2, -2, -2]","{(-5, -2): 1, (-1, -1): 1, (-1, 0): 1, (1, 0): 1, (1, 1): 1, (5, 2): 1}","{(-3, -1): {2: 1}, (3, 2): {2: 1}}",6,2,"{-5: 1, -1: 2, 1: 2, 5: 1}","{-2: 1, -1: 1, 0: 2, 1: 1, 2: 1}"
"[-2, 2, 1, 1, 1, 2, 1, 3, 2]","{(3, 0): 1, (5, 0): 1, (7, 2): 1, (11, 3): 1, (11, 4): 1, (15, 5): 1}","{(9, 3): {2: 1}, (13, 5): {2: 1}}",6,2,"{3: 1, 5: 1, 7: 1, 11: 2, 15: 1}","{0: 2, 2: 1, 3: 1, 4: 1, 5: 1}"
"[-2, -2, 2, 1, -3, 1, 3, 1, 3]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
"[-1, 3, -1, 2, 3, -3, 3, 1, 3]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
"[3, 3, -3, 3, 3, -3, 1, 2, 3]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
"[2, 1, -1, 3, 2, 2, 2, 2, 1]","{(3, 0): 1, (5, 0): 1, (7, 2): 1, (11, 3): 1, (11, 4): 1, (15, 5): 1}","{(9, 3): {2: 1}, (13, 5): {2: 1}}",6,2,"{3: 1, 5: 1, 7: 1, 11: 2, 15: 1}","{0: 2, 2: 1, 3: 1, 4: 1, 5: 1}"
"[-1, -2, -3, -1, 2, -3, -3, -1, 3]","{(-13, -5): 1, (-9, -4): 1, (-9, -3): 1, (-7, -2): 1, (-5, -2): 1, (-3, -1): 1, (-3, 0): 1, (-1, 0): 1}","{(-11, -4): {2: 1}, (-7, -2): {2: 1}, (-5, -1): {2: 1}}",8,3,"{-13: 1, -9: 2, -7: 1, -5: 1, -3: 2, -1: 1}","{-5: 1, -4: 1, -3: 1, -2: 2, -1: 1, 0: 2}"
"[3, -2, 2, 3, 2, 3, 1, -3, 3]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
"[-2, -3, 2, 1, -2, 1, -1, 1, -3]","{(-5, -2): 1, (-1, -1): 1, (-1, 0): 1, (1, 0): 1, (1, 1): 1, (5, 2): 1}","{(-3, -1): {2: 1}, (3, 2): {2: 1}}",6,2,"{-5: 1, -1: 2, 1: 2, 5: 1}","{-2: 1, -1: 1, 0: 2, 1: 1, 2: 1}"
"[1, -1, -1, 1, -1, 2, 2, 3, 2]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
"[2, 3, 3, 2, 2, 3, -1, -1, -1]","{(-5, -3): 1, (-1, -2): 1, (-1, -1): 1, (1, 0): 2, (3, 0): 2, (3, 1): 1, (5, 1): 1, (5, 2): 2, (7, 2): 1, (9, 3): 2, (9, 4): 1, (13, 5): 1}","{(-3, -2): {2: 1}, (1, 0): {2: 1}, (3, 1): {2: 1}, (5, 2): {2: 1}, (7, 3): {2: 2}, (11, 5): {2: 1}}",16,7,"{-5: 1, -1: 2, 1: 2, 3: 3, 5: 3, 7: 1, 9: 3, 13: 1}","{-3: 1, -2: 1, -1: 1, 0: 4, 1: 2, 2: 3, 3: 2, 4: 1, 5: 1}"
"[-3, -2, -3, 2, -3, -2, 3, 1, -2]","{(-13, -5): 1, (-9, -4): 1, (-9, -3): 1, (-7, -2): 1, (-5, -2): 1, (-3, -1): 1, (-3, 0): 1, (-1, 0): 1}","{(-11, -4): {2: 1}, (-7, -2): {2: 1}, (-5, -1): {2: 1}}",8,3,"{-13: 1, -9: 2, -7: 1, -5: 1, -3: 2, -1: 1}","{-5: 1, -4: 1, -3: 1, -2: 2, -1: 1, 0: 2}"
"[-1, 3, 1, 1, 3, 1, 3, 1, 2]","{(3, 0): 1, (5, 0): 1, (7, 2): 2, (11, 3): 2, (11, 4): 1, (13, 5): 1, (15, 5): 1, (17, 6): 1}","{(9, 3): {2: 2}, (13, 5): {2: 1}, (15, 6): {2: 1}}",10,4,"{3: 1, 5: 1, 7: 2, 11: 3, 13: 1, 15: 1, 17: 1}","{0: 2, 2: 2, 3: 2, 4: 1, 5: 2, 6: 1}"
"[-1, 3, 2, -1, 3, -1, 3, 3, -3]","{(-7, -3): 1, (-3, -2): 1, (-3, -1): 1, (-1, 0): 2, (1, 0): 2, (3, 1): 1, (3, 2): 1, (7, 3): 1}","{(-5, -2): {2: 1}, (-1, 0): {2: 1}, (1, 1): {2: 1}, (5, 3): {2: 1}}",10,4,"{-7: 1, -3: 2, -1: 2, 1: 2, 3: 2, 7: 1}","{-3: 1, -2: 1, -1: 1, 0: 4, 1: 1, 2: 1, 3: 1}"
"[3, -1, 3, -2, -3, -1, 3, -3, -1]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
"[-3, -2, 1, -3, 1, 2, -1, 1, -1]","{(-5, -2): 1, (-1, -1): 1, (-1, 0): 1, (1, 0): 1, (1, 1): 1, (5, 2): 1}","{(-3, -1): {2: 1}, (3, 2): {2: 1}}",6,2,"{-5: 1, -1: 2, 1: 2, 5: 1}","{-2: 1, -1: 1, 0: 2, 1: 1, 2: 1}"
"[-2, 2, 3, -1, 3, 2, -3, -1, -1]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
"[-1, 1, 1, -2, -2, 1, -3, -2, -1]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
"[2, -1, 2, 1, -2, -2, -3, 1, 1]","{(-3, -1): 1, (-1, 0): 1, (1, 0): 2, (1, 1): 1, (3, 2): 1, (5, 2): 1, (7, 3): 1, (7, 4): 1, (11, 5): 1}","{(-1, 0): {2: 1}, (3, 2): {2: 1}, (5, 3): {2: 1}, (9, 5): {2: 1}}",10,4,"{-3: 1, -1: 1, 1: 3, 3: 1, 5: 1, 7: 2, 11: 1}","{-1: 1, 0: 3, 1: 1, 2: 2, 3: 1, 4: 1, 5: 1}"
"[2, -1, -2, 1, -3, 1, 3, 1, 3]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
"[-2, 2, -2, -2, -3, -2, 1, 2, -1]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
"[-1, -1, -1, -3, 2, 1, -3, -2, 3]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
"[3, 3, 3, 3, -3, -2, 3, -3, 2]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
"[-2, -1, -2, 1, 1, -2, -2, -1, -3]","{(-13, -5): 1, (-9, -4): 1, (-9, -3): 1, (-7, -2): 1, (-5, -2): 1, (-3, -1): 1, (-3, 0): 1, (-1, 0): 1}","{(-11, -4): {2: 1}, (-7, -2): {2: 1}, (-5, -1): {2: 1}}",8,3,"{-13: 1, -9: 2, -7: 1, -5: 1, -3: 2, -1: 1}","{-5: 1, -4: 1, -3: 1, -2: 2, -1: 1, 0: 2}"
"[1, -1, -3, -1, 1, -1, -1, -1, 2]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
"[-2, 3, 3, -1, 2, -3, -2, 1, 3]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
"[-3, 3, 3, 2, -1, -3, 2, -1, -1]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
"[-1, -3, -1, -1, 3, 2, -3, 2, 2]","{(-7, -3): 1, (-3, -2): 1, (-3, -1): 1, (-1, 0): 2, (1, 0): 2, (3, 1): 1, (3, 2): 1, (7, 3): 1}","{(-5, -2): {2: 1}, (-1, 0): {2: 1}, (1, 1): {2: 1}, (5, 3): {2: 1}}",10,4,"{-7: 1, -3: 2, -1: 2, 1: 2, 3: 2, 7: 1}","{-3: 1, -2: 1, -1: 1, 0: 4, 1: 1, 2: 1, 3: 1}"
"[-1, -2, -1, -2, -2, 3, -2, -3, -1]","{(-15, -5): 1, (-11, -4): 1, (-11, -3): 1, (-7, -2): 1, (-5, 0): 1, (-3, 0): 1}","{(-13, -4): {2: 1}, (-9, -2): {2: 1}}",6,2,"{-15: 1, -11: 2, -7: 1, -5: 1, -3: 1}","{-5: 1, -4: 1, -3: 1, -2: 1, 0: 2}"
"[3, -1, 1, -3, -1, 3, -1, -1, 2]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
"[-1, -1, -2, -1, 1, 3, -1, -3, 3]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
"[2, -1, 3, -2, -2, -3, -2, -3, -2]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
"[-3, -2, 2, 2, -1, -1, -1, -2, -1]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
"[-2, -2, 1, -1, -2, 3, -3, 1, -3]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
"[1, -1, -3, -3, -3, -2, -2, 2, 1]","{(-9, -3): 1, (-5, -2): 1, (-3, 0): 1, (-1, 0): 1}","{(-7, -2): {2: 1}}",4,1,"{-9: 1, -5: 1, -3: 1, -1: 1}","{-3: 1, -2: 1, 0: 2}"
"[3, -2, 2, 3, -3, 3, 2, -2, 3]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
"[-2, 3, 1, 1, 1, -3, -3, 3, -3]","{(1, 0): 1, (3, 0): 1, (5, 2): 1, (9, 3): 1}","{(7, 3): {2: 1}}",4,1,"{1: 1, 3: 1, 5: 1, 9: 1}","{0: 2, 2: 1, 3: 1}"
"[2, 1, 2, 1, -3, 2, -3, -1, -2]","{(-5, -2): 1, (-1, -1): 1, (-1, 0): 1, (1, 0): 1, (1, 1): 1, (5, 2): 1}","{(-3, -1): {2: 1}, (3, 2): {2: 1}}",6,2,"{-5: 1, -1: 2, 1: 2, 5: 1}","{-2: 1, -1: 1, 0: 2, 1: 1, 2: 1}"
"[-2, -3, -2, -3, -2, -3, 2, -1, -3]","{(-15, -5): 1, (-11, -4): 1, (-11, -3): 1, (-7, -2): 1, (-5, 0): 1, (-3, 0): 1}","{(-13, -4): {2: 1}, (-9, -2): {2: 1}}",6,2,"{-15: 1, -11: 2, -7: 1, -5: 1, -3: 1}","{-5: 1, -4: 1, -3: 1, -2: 1, 0: 2}"
