[60, 55, 52, 48]C-major triad
[67, 55, 50, 47]G-major triad
[65, 55, 50, 47]G-dominant seventh chord
[64, 55, 48, 48]C-major triad
[62, 55, 50, 47]G-major triad
[60, 57, 52, 45]A-minor triad
[60, 59, 53, 45]F-all-interval tetrachord
[67, 60, 55, 40]C-major triad
[69, 60, 55, 41]F-major-second major tetrachord
[69, 60, 53, 43]F-major-second major tetrachord
[69, 60, 52, 43]A-minor seventh chord
[69, 60, 53, 45]F-major triad
[69, 60, 53, 47]F-all-interval tetrachord
[67, 60, 52, 48]C-major triad
[67, 62, 55, 47]G-major triad
[69, 64, 55, 48]A-minor seventh chord
[71, 62, 54, 50]B-minor triad
[72, 60, 55, 52]C-major triad
[72, 62, 57, 53]D-minor seventh chord
[71, 62, 59, 55]G-major triad
[71, 62, 50, 47]Major Sixth with octave doublings above B
[69, 60, 52, 48]A-minor triad
[69, 60, 57, 45]Major Sixth with octave doublings above A
[69, 60, 54, 50]D-dominant seventh chord
[67, 59, 55, 43]Minor Sixth with octave doublings above G
[64, 60, 55, 48]C-major triad
[69, 60, 53, 41]F-major triad
[69, 60, 52, 41]F-major seventh chord
[67, 59, 50, 43]G-major triad
[65, 60, 57, 45]F-major triad
[65, 62, 55, 47]G-dominant seventh chord
[64, 60, 55, 41]C-perfect-fourth major tetrachord
[62, 60, 55, 43]C-quartal trichord
[62, 59, 55, 43]G-major triad
[60, 60, 55, 36]Perfect Fourth with octave doublings above C
[64, 64, 55, 48]C-major triad
[67, 62, 55, 43]Perfect Fourth with octave doublings above G
[64, 60, 55, 36]C-major triad
[64, 60, 55, 38]C-major-second major tetrachord
[64, 60, 55, 40]C-major triad
[62, 57, 55, 45]G-quartal trichord
[62, 55, 55, 47]G-major triad
[62, 55, 53, 43]G-incomplete dominant-seventh chord
[64, 55, 52, 48]C-major triad
[64, 55, 53, 50]E-minor tetramirror
[64, 55, 55, 52]Major Sixth with octave doublings above E
[64, 57, 55, 53]F-phrygian tetrachord
[62, 59, 55, 55]G-major triad
[62, 59, 55, 53]G-dominant seventh chord
[62, 59, 55, 52]E-minor seventh chord
[62, 59, 55, 50]G-major triad
[64, 60, 55, 47]C-major seventh chord
[64, 60, 57, 45]A-minor triad
[64, 60, 57, 43]A-minor seventh chord
[62, 60, 57, 41]D-minor seventh chord
[62, 60, 57, 38]D-incomplete dominant-seventh chord
[62, 59, 53, 43]G-dominant seventh chord
[60, 60, 52, 36]Minor Sixth with octave doublings above C
[72, 64, 57, 33]A-minor triad
[72, 64, 55, 36]C-major triad
[71, 62, 53, 38]B-diminished triad
[71, 62, 53, 40]B-perfect-fourth diminished tetrachord
[65, 57, 48, 45]F-major triad
[65, 57, 50, 47]B-half-diminished seventh chord
